"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Kcnk2",0,0.91378925612527,0.493,0.023,0,"0","Kcnk2"
"Ppib",0,0.906042836915705,0.996,0.937,0,"0","Ppib"
"Lpar1",0,0.905760631645167,0.553,0.042,0,"0","Lpar1"
"Vkorc1",0,0.904659566594578,0.743,0.254,0,"0","Vkorc1"
"Serpinf1",0,0.900173561267887,0.565,0.105,0,"0","Serpinf1"
"Pam",0,0.893996617949269,0.677,0.257,0,"0","Pam"
"Abca8a",0,0.890668784765326,0.527,0.05,0,"0","Abca8a"
"Efemp2",0,0.888634881317752,0.696,0.198,0,"0","Efemp2"
"Axl",0,0.88367623623544,0.664,0.202,0,"0","Axl"
"Prelp",0,0.874797782684768,0.501,0.046,0,"0","Prelp"
"Thbs1",0,0.872857720013949,0.572,0.194,0,"0","Thbs1"
"Aebp1",0,0.868071294023742,0.683,0.139,0,"0","Aebp1"
"Fndc1",0,0.866749590554145,0.544,0.052,0,"0","Fndc1"
"Tmed3",0,0.86323325281787,0.799,0.4,0,"0","Tmed3"
"Kdelr2",0,0.862235298098976,0.802,0.453,0,"0","Kdelr2"
"Maged1",0,0.857603433442465,0.816,0.377,0,"0","Maged1"
"Col26a1",0,0.85599327598019,0.489,0.054,0,"0","Col26a1"
"Ugp2",0,0.854882593319314,0.697,0.298,0,"0","Ugp2"
"P3h3",0,0.839164224773692,0.658,0.147,0,"0","P3h3"
"Srpx",0,0.83597639767071,0.511,0.038,0,"0","Srpx"
"Lamc1",0,0.835557861785306,0.791,0.442,0,"0","Lamc1"
"Tnc",0,0.83393570085544,0.339,0.059,0,"0","Tnc"
"Ssr2",0,0.833409732091323,0.916,0.653,0,"0","Ssr2"
"Dap",0,0.831505463027739,0.724,0.306,0,"0","Dap"
"Ndn",0,0.82738694122829,0.673,0.227,0,"0","Ndn"
"Serping1",0,0.817411018155289,0.667,0.185,0,"0","Serping1"
"Frzb",0,0.817377491237599,0.48,0.033,0,"0","Frzb"
"Arf4",0,0.802792057526536,0.982,0.854,0,"0","Arf4"
"Fbn2",0,0.80233415479154,0.53,0.078,0,"0","Fbn2"
"Tnxb",0,0.79778672240736,0.493,0.064,0,"0","Tnxb"
"S100a6",0,0.794311315698378,0.933,0.747,0,"0","S100a6"
"Selm",0,0.793429323008293,0.821,0.444,0,"0","Selm"
"Tuba1a",0,0.793400165742444,0.968,0.885,0,"0","Tuba1a"
"Nenf",0,0.791313577604182,0.889,0.604,0,"0","Nenf"
"Fkbp10",0,0.791202325360693,0.725,0.304,0,"0","Fkbp10"
"Glipr2",0,0.782645203361152,0.625,0.188,0,"0","Glipr2"
"Lpl",0,0.777802845259054,0.766,0.431,0,"0","Lpl"
"Adamts5",0,0.776367912355227,0.45,0.078,0,"0","Adamts5"
"Fkbp9",0,0.775067225519212,0.8,0.414,0,"0","Fkbp9"
"Copz2",0,0.77252014202704,0.68,0.255,0,"0","Copz2"
"Pdgfra",0,0.770735574893953,0.498,0.036,0,"0","Pdgfra"
"Ckap4",0,0.767785271027914,0.652,0.241,0,"0","Ckap4"
"Ostc",0,0.756685542175841,0.825,0.495,0,"0","Ostc"
"Pdlim2",0,0.756435368259566,0.59,0.194,0,"0","Pdlim2"
"Nid1",0,0.751169509592396,0.819,0.462,0,"0","Nid1"
"Srpx2",0,0.748193776526499,0.472,0.035,0,"0","Srpx2"
"Lsp1",0,0.744588096063125,0.672,0.244,0,"0","Lsp1"
"Nfia",0,0.744445716868522,0.726,0.375,0,"0","Nfia"
"Ltbp4",0,0.742401832971561,0.859,0.478,0,"0","Ltbp4"
"Qpct",0,0.731912440611907,0.412,0.032,0,"0","Qpct"
"Mtch1",0,0.72439520452092,0.821,0.571,0,"0","Mtch1"
"Dpysl3",0,0.713963491859357,0.614,0.24,0,"0","Dpysl3"
"Prdx4",0,0.710816702856766,0.861,0.595,0,"0","Prdx4"
"Lox",0,0.710273952391862,0.471,0.118,0,"0","Lox"
"Aldh2",0,0.705379583357709,0.69,0.316,0,"0","Aldh2"
"Arl1",0,0.700913540725428,0.791,0.448,0,"0","Arl1"
"P4hb",0,0.700067423338853,0.895,0.645,0,"0","P4hb"
"Fkbp11",0,0.693043082736089,0.474,0.108,0,"0","Fkbp11"
"Fgfr1",0,0.69045949176342,0.545,0.1,0,"0","Fgfr1"
"Peg3",0,0.690079184646182,0.575,0.228,0,"0","Peg3"
"P3h1",0,0.689918017400949,0.558,0.135,0,"0","P3h1"
"Fkbp7",0,0.683979207461421,0.609,0.208,0,"0","Fkbp7"
"Tmem45a",0,0.682435749332379,0.451,0.044,0,"0","Tmem45a"
"Pcsk6",0,0.681571888591004,0.378,0.042,0,"0","Pcsk6"
"Gpc3",0,0.681353169101055,0.543,0.151,0,"0","Gpc3"
"Lrp1",0,0.680205419282775,0.588,0.172,0,"0","Lrp1"
"Calu",0,0.672475541760105,0.85,0.524,0,"0","Calu"
"Vimp",0,0.671389677348228,0.676,0.296,0,"0","Vimp"
"Ptov1",0,0.670826645501627,0.809,0.504,0,"0","Ptov1"
"Sulf1",0,0.666159351197295,0.511,0.105,0,"0","Sulf1"
"Sox9",0,0.664544092539045,0.428,0.056,0,"0","Sox9"
"Gpm6b",0,0.663395325208466,0.414,0.024,0,"0","Gpm6b"
"Celf2",0,0.661766363012334,0.585,0.182,0,"0","Celf2"
"Gm13305",0,0.661540854348712,0.512,0.146,0,"0","Gm13305"
"Dpep1",0,0.657843655290084,0.317,0.033,0,"0","Dpep1"
"Chpf",0,0.656331821446495,0.469,0.074,0,"0","Chpf"
"Tmem167",0,0.654015424094539,0.789,0.452,0,"0","Tmem167"
"Islr",0,0.649778028031972,0.395,0.021,0,"0","Islr"
"Nfix",0,0.642968069262153,0.531,0.125,0,"0","Nfix"
"Pdia6",0,0.64222571311545,0.894,0.701,0,"0","Pdia6"
"Crtap",0,0.638465930323467,0.608,0.211,0,"0","Crtap"
"Serf1",0,0.635406376754544,0.552,0.144,0,"0","Serf1"
"Morf4l2",0,0.632431485943737,0.935,0.756,0,"0","Morf4l2"
"Hmgn1",0,0.623732279435318,0.936,0.785,0,"0","Hmgn1"
"Sept11",0,0.617818635771288,0.712,0.374,0,"0","Sept11"
"Hsp90b1",0,0.612713023108094,0.951,0.86,0,"0","Hsp90b1"
"Sparc",0,0.606643533739635,1,0.959,0,"0","Sparc"
"Sar1a",0,0.605543489815573,0.754,0.429,0,"0","Sar1a"
"Dkk3",0,0.604783716376668,0.397,0.036,0,"0","Dkk3"
"Pofut2",0,0.603248305443222,0.668,0.296,0,"0","Pofut2"
"Rarres2",0,0.603140179677266,0.751,0.264,0,"0","Rarres2"
"Itgb5",0,0.596706748506005,0.48,0.158,0,"0","Itgb5"
"C1qtnf6",0,0.595751672129829,0.684,0.342,0,"0","C1qtnf6"
"6030408B16Rik",0,0.594106929138403,0.345,0.042,0,"0","6030408B16Rik"
"Krtcap2",0,0.587483560224766,0.947,0.794,0,"0","Krtcap2"
"Tspan3",0,0.582114434629042,0.698,0.318,0,"0","Tspan3"
"Tceal8",0,0.580583353354356,0.791,0.48,0,"0","Tceal8"
"Fibin",0,0.580166838047646,0.325,0.031,0,"0","Fibin"
"Thy1",0,0.5748890251387,0.402,0.124,0,"0","Thy1"
"Rrbp1",0,0.574510900985091,0.903,0.744,0,"0","Rrbp1"
"Gxylt2",0,0.573671382803529,0.374,0.04,0,"0","Gxylt2"
"Gpc6",0,0.566749242201639,0.544,0.155,0,"0","Gpc6"
"Thbs3",0,0.56626564416843,0.396,0.043,0,"0","Thbs3"
"Gpr153",0,0.566017496102586,0.4,0.042,0,"0","Gpr153"
"Lman1",0,0.565203763054909,0.632,0.311,0,"0","Lman1"
"Sec61g",0,0.562306867733445,0.987,0.938,0,"0","Sec61g"
"Ddost",0,0.559507251776692,0.777,0.483,0,"0","Ddost"
"Rplp1",0,0.558184243927551,1,0.999,0,"0","Rplp1"
"Tnfaip6",0,0.55696376962575,0.269,0.04,0,"0","Tnfaip6"
"P3h4",0,0.55518069388714,0.498,0.14,0,"0","P3h4"
"Selenbp1",0,0.553636647126855,0.376,0.094,0,"0","Selenbp1"
"Lmo4",0,0.553621524295566,0.642,0.318,0,"0","Lmo4"
"Antxr1",0,0.550267166036567,0.398,0.052,0,"0","Antxr1"
"Cpq",0,0.549408000094092,0.459,0.12,0,"0","Cpq"
"Bmp1",0,0.542438007412802,0.522,0.17,0,"0","Bmp1"
"Nnmt",0,0.542103497984181,0.401,0.057,0,"0","Nnmt"
"Lrrc17",0,0.541373681301707,0.375,0.033,0,"0","Lrrc17"
"Ank2",0,0.539629926023324,0.38,0.043,0,"0","Ank2"
"Ssr4",0,0.539235000553969,0.912,0.781,0,"0","Ssr4"
"Mrc2",0,0.537417126644596,0.355,0.04,0,"0","Mrc2"
"Fam46a",0,0.537203053328264,0.415,0.112,0,"0","Fam46a"
"Igsf3",0,0.536518274249085,0.431,0.089,0,"0","Igsf3"
"Rab34",0,0.532585176953108,0.473,0.118,0,"0","Rab34"
"Fbln2",0,0.532156438547952,0.682,0.264,0,"0","Fbln2"
"Creb3l1",0,0.532119885775084,0.406,0.074,0,"0","Creb3l1"
"Ppp1r14a",0,0.529229550521776,0.601,0.206,0,"0","Ppp1r14a"
"Srm",0,0.525020995149194,0.503,0.215,0,"0","Srm"
"Emp3",0,0.524191867602859,0.876,0.574,0,"0","Emp3"
"Tpst1",0,0.523569500104353,0.526,0.213,0,"0","Tpst1"
"Rbms3",0,0.523265094562812,0.452,0.108,0,"0","Rbms3"
"Eln",0,0.523048971973595,0.726,0.322,0,"0","Eln"
"S100a11",0,0.522301864510902,0.997,0.969,0,"0","S100a11"
"Tmed2",0,0.512850985090978,0.894,0.759,0,"0","Tmed2"
"Sema3c",0,0.512374319521181,0.266,0.041,0,"0","Sema3c"
"Kdelr1",0,0.509411120805616,0.75,0.477,0,"0","Kdelr1"
"Cyth3",0,0.50808421774776,0.57,0.252,0,"0","Cyth3"
"Ctsl",0,0.507039291427818,0.989,0.947,0,"0","Ctsl"
"Ttc3",0,0.506661451511238,0.618,0.304,0,"0","Ttc3"
